2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:50,623-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,624-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,625-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,626-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,627-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,628-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,629-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,631-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,632-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,633-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,634-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,635-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,636-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,637-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,638-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,639-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,640-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,641-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,642-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,643-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,644-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,646-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,647-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,649-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,649-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,651-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,652-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,653-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,654-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,655-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,657-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,658-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,659-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,660-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,661-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,662-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,663-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,664-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,665-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,667-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,668-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,669-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,670-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,671-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,673-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,674-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,675-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,676-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,677-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,678-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,679-INFO: The 2 row insert commit,project:189 task:2513
